Category,Book_Name,Author,Publisher,URL
Hardcover Nonfiction,21 Lessons for the 21st Century, by Yuval Noah Harari," (Spiegel & Grau) - September 23, 2018",https://www.goodreads.com/book/show/38820046-21-lessons-for-the-21st-century?ac=1&from_search=true&qid=0vjauuTw8F&rank=1
Hardcover Nonfiction,Fear, by Bob Woodward," (Simon & Schuster) - September 30, 2018",https://www.goodreads.com/book/show/41012533-fear?from_search=true&qid=qw2e4cYg84&rank=10
Hardcover Nonfiction,Ship of Fools, by Tucker Carlson," (Free Press) - October 21, 2018",https://www.goodreads.com/en/book/show/35182973
Hardcover Nonfiction,Killing the SS ,by Bill O'Reilly and Martin Dugard," (Holt) - October 28, 2018",https://www.goodreads.com/book/show/38714362-killing-the-ss?ac=1&from_search=true&qid=ybaM9MDc9g&rank=1
Hardcover Nonfiction,Shade, by Pete Souza ,"(Little, Brown) - November 4, 2018",https://www.goodreads.com/en/book/show/40201496
Hardcover Nonfiction,Beastie Boys Book," by Michael Diamond and Adam Horovitz (Spiegel & Grau) - November 18, 2018",,https://www.goodreads.com/book/show/38799788-beastie-boys-book?ac=1&from_search=true&qid=WmzOyX5pgI&rank=2
Hardcover Nonfiction,Becoming, by Michelle Obama," (Crown) - December 2, 2018",https://www.goodreads.com/book/show/38746485-becoming?ac=1&from_search=true&qid=QACSMddZpb&rank=1
Hardcover Nonfiction,The Princess Diarist, by Carrie Fisher," (Blue Rider) - January 15, 2017",https://www.goodreads.com/book/show/26025989-the-princess-diarist?ac=1&from_search=true&qid=GOW2Y1t2FH&rank=1
Hardcover Nonfiction,Portraits of Courage, by George W. Bush ,"(Crown) - March 19, 2017",https://www.goodreads.com/book/show/31947326-portraits-of-courage?ac=1&from_search=true&qid=zw9ueEdH1c&rank=1
Hardcover Nonfiction,Trump's War, by Michael Savage," (Center Street) - April 2, 2017",https://www.goodreads.com/book/show/33296611-trump-s-war?ac=1&from_search=true&qid=lkiaKSfWxT&rank=1
Hardcover Nonfiction,Old School, by Bill O'Reilly and Bruce Feirstein ,"(Holt) - April 16, 2017",https://www.goodreads.com/book/show/33931330-old-school?from_search=true&qid=oLxrYozJ1i&rank=11
Hardcover Nonfiction,This Fight Is Our Fight, by Elizabeth Warren," (Metropolitan/Holt) - May 7, 2017",https://www.goodreads.com/book/show/34196619-this-fight-is-our-fight?ac=1&from_search=true&qid=YKrVZafIHX&rank=1
Hardcover Nonfiction,Option B, by Sheryl Sandberg and Adam Grant ,"(Knopf) - May 14, 2017",https://www.goodreads.com/book/show/32938155-option-b?ac=1&from_search=true&qid=BUJmKb1yEY&rank=1
Hardcover Nonfiction,Astrophysics for People in a Hurry, by Neil deGrasse Tyson," (Norton) - May 21, 2017",https://www.goodreads.com/book/show/32191710-astrophysics-for-people-in-a-hurry?ac=1&from_search=true&qid=HRDf2MKOvx&rank=1
Hardcover Nonfiction,"Al Franken, Giant of the Senate", by Al Franken ,"(Twelve) - June 18, 2017",https://www.goodreads.com/book/show/31933250-al-franken-giant-of-the-senate?ac=1&from_search=true&qid=wuzSp5mPBG&rank=2
Hardcover Nonfiction,I Can't Make This Up ,by Kevin Hart with Neil Strauss ,"(37 INK/Atria) - June 25, 2017",https://www.goodreads.com/book/show/33347428-i-can-t-make-this-up?ac=1&from_search=true&qid=2G7GvOW1xB&rank=1
Hardcover Nonfiction,Understanding Trump, by Newt Gingrich," (Center Street) - July 2, 2017",https://www.goodreads.com/book/show/33641806-understanding-trump?ac=1&from_search=true&qid=Rrptw32Cgt&rank=1
Hardcover Nonfiction,Rediscovering Americanism, by Mark R. Levin," (Threshold Editions) - July 16, 2017",https://www.goodreads.com/book/show/34605923-rediscovering-americanism?ac=1&from_search=true&qid=y0UL1HjFaW&rank=1
Hardcover Nonfiction,Devil's Bargain, by Joshua Green ,"(Penguin Press) - August 6, 2017",https://www.goodreads.com/book/show/35276688-devil-s-bargain?from_search=true&qid=HtMoYyd2NG&rank=20
Hardcover Nonfiction,What Happened, by Hillary Rodham Clinton ,"(Simon & Schuster) - October 1, 2017",https://www.goodreads.com/book/show/34114362-what-happened?ac=1&from_search=true&qid=4XaaR10Vgo&rank=1
Hardcover Nonfiction,Killing England,by Bill O'Reilly and Martin Dugard ,"(Holt) - October 15, 2017",https://www.goodreads.com/book/show/34593560-killing-england?ac=1&from_search=true&qid=lnl3TZTcp8&rank=2
