Book_ID,"('character', 'story')","('like', 'story')","('series', 'story')","('love', 'story')","('great', 'story')","('end', 'story')","('new', 'story')","('think', 'story')","('people', 'story')","('plot', 'story')","('life', 'story')","('stars', 'story')","('author', 'story')","('enjoyed', 'story')","('loved', 'story')","('interesting', 'story')","('world', 'story')","('murder', 'story')","('family', 'story')","('man', 'story')","('different', 'story')","('story', 'series')","('character', 'series')","('like', 'series')","('love', 'series')","('great', 'series')","('end', 'series')","('new', 'series')","('think', 'series')","('people', 'series')","('plot', 'series')","('life', 'series')","('stars', 'series')","('author', 'series')","('enjoyed', 'series')","('loved', 'series')","('interesting', 'series')","('world', 'series')","('murder', 'series')","('family', 'series')","('man', 'series')","('different', 'series')"
33.0,0.08,0.12,0.1,0.18,0.17,0.06,0.18,0.06,0.05,0.17,-0.14,0.06,-0.02,0.23,0.2,0.05,-0.02,-0.13,0.0,0.07,0.21,0.04,0.1,0.14,0.13,0.16,0.06,0.12,0.19,-0.04,0.01,-0.67,0.08,-0.08,-0.15,-0.14,0.04,0.13,-0.6,0.0,0.13,-0.04
34.0,0.25,0.25,0.13,0.29,0.37,0.24,0.34,0.26,0.23,0.39,0.2,0.22,0.3,0.28,0.26,0.34,0.16,-0.17,0.37,0.3,0.3,-0.22,-0.26,-0.43,-0.33,-0.43,-0.22,-0.33,0.0,-0.15,-0.25,-0.14,-0.15,0.0,-0.1,-0.5,0.0,-0.3,0.0,0.0,-0.22,-0.3
35.0,0.24,0.23,0.38,0.37,0.31,0.16,0.17,-0.12,-0.43,0.35,0.29,0.3,0.26,0.34,0.38,0.25,0.3,0.1,0.35,0.27,0.33,0.2,0.23,0.23,0.41,0.56,0.2,0.17,0.17,0.0,0.53,0.25,0.4,0.1,0.72,0.41,0.15,0.35,0.12,0.03,0.19,0.3
36.0,0.19,0.17,0.18,0.26,0.25,0.16,0.22,0.17,0.08,0.21,0.14,0.09,0.03,0.17,0.28,0.26,0.09,-0.1,0.26,0.11,0.16,0.24,0.0,0.38,0.2,0.48,0.27,0.43,0.35,0.0,0.4,0.6,0.0,0.4,0.0,0.0,0.8,0.0,0.0,0.0,0.28,0.0
37.0,0.18,0.23,0.2,0.26,0.37,0.18,0.2,0.34,0.04,0.07,-0.06,0.19,0.2,0.24,0.23,0.32,0.19,0.13,0.05,0.17,0.26,0.1,0.13,0.08,0.18,0.17,0.07,0.1,0.1,0.06,0.03,0.19,0.01,0.21,0.06,0.16,0.11,0.19,-0.1,0.12,0.07,0.06
38.0,0.22,0.24,0.31,0.45,0.39,0.22,0.26,0.28,0.07,0.02,0.06,0.3,0.35,0.36,0.46,-0.03,0.07,0.16,-0.18,0.17,0.35,0.44,0.37,0.43,0.61,0.78,0.46,0.32,0.63,0.25,0.28,0.0,0.6,0.47,0.1,0.53,0.2,0.0,0.29,0.0,0.37,0.39
39.0,0.16,0.09,0.18,0.18,0.11,0.06,0.12,0.04,0.1,-0.0,0.06,-0.04,0.02,0.03,0.28,0.31,0.32,-0.03,-0.11,0.03,0.3,0.1,0.13,0.15,0.2,0.15,0.12,0.1,0.05,0.06,0.15,0.25,0.17,0.2,0.17,0.24,0.1,0.33,0.14,0.18,0.14,0.1
40.0,0.22,0.25,0.36,0.27,0.24,0.23,0.23,0.2,0.21,0.15,0.22,0.22,0.23,0.27,0.25,0.2,0.21,0.2,0.4,0.24,0.19,0.38,0.2,0.24,0.5,0.3,0.17,0.22,-0.13,0.38,-0.05,0.13,-0.23,0.17,0.3,0.75,0.32,0.17,0.0,0.0,0.2,0.12
41.0,0.15,0.18,0.55,0.14,0.16,0.19,0.2,0.15,0.11,0.26,0.16,0.2,0.19,0.24,0.15,0.29,0.06,0.01,0.11,0.16,0.16,0.3,0.3,0.1,0.0,0.1,0.5,0.0,0.1,0.5,0.1,0.5,0.0,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.5,0.5
42.0,0.31,0.26,0.31,0.37,0.38,0.31,0.37,0.42,0.31,0.26,0.28,0.32,0.3,0.28,0.41,0.37,0.21,0.0,0.3,0.24,0.39,0.64,0.56,0.71,0.62,0.78,0.78,0.0,0.55,0.57,0.7,0.58,0.65,0.7,0.6,0.68,0.65,0.84,0.0,0.8,0.56,0.0
43.0,0.44,0.5,0.5,0.51,0.64,0.48,0.58,0.51,0.52,0.82,0.52,0.41,0.48,0.58,0.56,0.37,0.48,0.0,0.57,0.52,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.05,0.0,0.23,0.03,0.22,0.05,-0.07,0.03,-0.15,-0.04,-0.1,-0.07,-0.0,0.23,-0.15,-0.03,-0.09,-0.13,-0.02,-0.02,0.03,0.1,-0.6,-0.25,0.4,-0.6,-0.15,-0.6,0.0,0.0,-0.3,-0.25,-0.6,0.0,-0.6,0.0,-0.25,0.0,-0.3,-0.4,-0.15,0.0
45.0,0.16,0.16,0.37,0.28,0.23,0.15,0.06,0.12,0.07,0.01,0.11,-0.02,0.14,0.13,0.22,0.16,0.13,-0.35,0.55,0.12,0.16,0.53,0.33,0.53,0.5,0.0,0.53,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.8
46.0,0.23,0.28,0.22,0.31,0.28,0.19,0.12,0.2,0.18,0.12,0.18,0.21,0.19,0.26,0.38,0.33,0.06,-0.02,0.16,0.18,0.32,0.21,0.25,0.26,0.27,0.37,0.28,0.25,0.15,0.17,0.18,0.17,0.26,0.17,0.2,0.17,0.15,0.22,0.23,0.19,0.25,0.06
47.0,0.08,0.14,0.16,0.33,0.64,0.21,0.25,0.04,-0.09,0.1,0.14,0.11,0.04,0.37,0.58,0.19,-0.45,-0.2,0.5,0.24,0.23,0.27,0.26,0.22,0.33,0.36,0.17,0.25,0.27,0.26,0.28,0.25,0.43,0.22,0.37,0.38,0.37,0.46,0.3,0.21,0.23,0.36
48.0,0.41,0.42,0.3,0.62,0.54,0.4,0.14,0.44,0.42,0.33,0.3,0.57,0.36,0.5,0.71,0.36,0.38,-0.45,0.4,0.44,0.35,0.1,0.04,0.11,0.18,0.15,0.09,0.06,0.1,-0.05,0.14,-0.15,-0.01,-0.02,0.21,0.19,0.03,0.1,0.3,0.04,-0.01,0.02
49.0,0.27,0.29,0.23,0.38,0.2,0.23,0.3,0.33,0.25,0.25,0.23,0.25,0.07,0.44,0.45,0.34,0.24,-0.05,0.33,0.26,0.29,0.24,0.24,0.25,0.33,0.28,0.29,0.29,0.33,0.34,0.22,0.27,0.2,0.15,0.14,0.32,0.35,0.25,0.34,0.47,0.28,0.3
50.0,0.09,0.15,0.2,0.26,0.4,0.04,0.05,0.01,0.06,0.27,0.17,-0.18,0.08,0.16,0.36,0.11,-0.14,0.1,0.09,0.19,0.11,0.2,0.18,0.1,0.13,0.09,0.14,0.26,0.26,0.16,0.26,0.15,-0.01,0.06,0.1,0.27,0.22,0.08,0.17,0.14,0.22,0.13
