index,URL,Topic Score,Labels
122,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/73045520_271333173758117_1810928919909355559_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&oh=bdeaff651a7db22b8844d19d1885141f&oe=5E84F7F6,"0.182*""mountain"" + 0.149*""landscap"" + 0.133*""natur"" + 0.100*""geolog"" + 0.094*""landform"" + 0.083*""phenomenon"" + 0.035*""atmospher"" + 0.032*""peopl"" + 0.028*""rock"" + 0.025*""cloud""",Aurora Sky Nature Green Atmospheric phenomenon Natural landscape Atmosphere Geological phenomenon Landscape Night
123,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/72296749_2353146505015285_7505307525195220097_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&oh=76d8e3d73d2712835f02a4e82d60dfdd&oe=5E4F099F,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Parka Winter Outerwear Snow Coat Fur Headgear Jacket Photography Shotgun
124,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/73420461_1406018646224909_7458293308090127172_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&oh=a84b7e93fb4826ddbb7f3e303c9c89dc&oe=5E8363E7,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Darkness Lady Smoke Human Human body Hand Performance art Flesh Portrait Performance
125,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74940072_149716359736111_5334532280378930969_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&oh=ac76c660dfaaffd104ff8aecd28add0d&oe=5E8CD89C,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Street Alley Building Infrastructure Road Door Architecture Facade Art
126,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/73099889_401823780701924_5875584909502958267_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&oh=e6dab71bd7fa76e7aa9046cef2bff41e&oe=5E660F92,"0.183*""plant"" + 0.158*""tree"" + 0.098*""night"" + 0.070*""rock"" + 0.060*""light"" + 0.054*""blue"" + 0.052*""water"" + 0.048*""green"" + 0.034*""photographi"" + 0.030*""landscap""",Sky Night Blue Green Light Tree Lighting Water Atmosphere Cloud
127,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/71139120_725375124625871_1540923227713463873_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&oh=09fa83fb04e0d4d53dff128c067f65a3&oe=5E6F2AA2,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Wall Street art Art Poster Mural Graffiti Advertising
128,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/72761018_149427383124567_6011436220764338209_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=103&oh=da50d1c7d6909c0e4d92097fdc4e2f2b&oe=5E8CC2FB,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",People Adaptation Event Tribe Crowd
129,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74898934_1388230824664698_5012593492047776024_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&oh=0f81e29d4f42ed8f09fc7c7c101f639c&oe=5E6F3C40,"0.515*""photographi"" + 0.143*""room"" + 0.065*""human"" + 0.053*""sit"" + 0.037*""cloud"" + 0.032*""water"" + 0.023*""tree"" + 0.017*""architectur"" + 0.015*""organ"" + 0.014*""light""",People Red Child Fun Adaptation Room Leisure Event Photography Vacation
130,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74403393_542727966271972_1476507061557321577_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&oh=902549fa04bad59ec6879149e8a28f39&oe=5E50FD15,"0.121*""human"" + 0.112*""adapt"" + 0.097*""child"" + 0.094*""tourism"" + 0.086*""landscap"" + 0.061*""smile"" + 0.056*""peopl"" + 0.050*""rock"" + 0.034*""photographi"" + 0.034*""water""",People Water Jumping Fun Child Human Happy Play Adaptation Photography
131,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/67679497_455737038384703_3766203492665164491_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&oh=566089807298d30d0a42019fa634ef5e&oe=5E864747,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Vertebrate Bird Macaw Parrot Beak Adaptation Wing Organism Lovebird Budgie
132,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/73372133_715089492301392_7139500847245420235_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&oh=e076af09257846cae340e27f14626c4e&oe=5E558180,"0.163*""mountain"" + 0.135*""atmospher"" + 0.080*""phenomenon"" + 0.079*""natur"" + 0.062*""landform"" + 0.057*""tree"" + 0.051*""cloud"" + 0.050*""grass"" + 0.044*""plant"" + 0.038*""landscap""",Sky Cloud Daytime Atmosphere Cumulus Atmospheric phenomenon Geological phenomenon Evening Meteorological phenomenon Orange
133,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/72759134_1381707448659380_3909421850221215045_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&oh=20d5e4c366c3af2b64c9c9bf2fcbd3ff&oe=5E50AE03,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",People Event Tradition Ritual Temple Ceremony
134,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/74333551_2424571671091379_5345337150836418535_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&oh=9ab43ef51a31ce59e63406c849746cab&oe=5E88BCE5,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Leg Thigh Joint Muscle Knee Human leg Hip
135,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/76866794_2767165736640606_2714524668778178470_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&oh=de92328e1a1e784253c794fccb176029&oe=5E51EDF8,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Tourism Tree Community Crowd Hill station Leisure Summer Travel Fun Plant
